Economy,LPI Score,LPI Grouped Rank,Customs Score,Customs Grouped Rank,Infrastructure Score,Infrastructure Grouped Rank,International Shipments Score,International Shipments Grouped Rank,Logistics Competence and Quality Score,Logistics Competence and Quality Grouped Rank,Timeliness Score,Timeliness Grouped Rank,Tracking and Tracing Score,Tracking and Tracing Grouped Rank
Singapore,4.3,1,4.2,1,4.6,1,4.0,2,4.4,1,4.3,1,4.4,1
Finland,4.2,2,4.0,4,4.2,5,4.1,1,4.2,3,4.3,1,4.2,3
Denmark,4.1,3,4.1,2,4.1,9,3.6,14,4.1,9,4.1,10,4.3,2
Germany,4.1,3,3.9,7,4.3,3,3.7,8,4.2,3,4.1,10,4.2,3
Netherlands,4.1,3,3.9,7,4.2,5,3.7,8,4.2,3,4.0,17,4.2,3
Switzerland,4.1,3,4.1,2,4.4,2,3.6,14,4.3,2,4.2,4,4.2,3
Austria,4.0,7,3.7,14,3.9,16,3.8,4,4.0,11,4.3,1,4.2,3
Belgium,4.0,7,3.9,7,4.1,9,3.8,4,4.2,3,4.2,4,4.0,16
Canada,4.0,7,4.0,4,4.3,3,3.6,14,4.2,3,4.1,10,4.1,11
"Hong Kong SAR, China",4.0,7,3.8,12,4.0,14,4.0,2,4.0,11,4.1,10,4.2,3
Sweden,4.0,7,4.0,4,4.2,5,3.4,26,4.2,3,4.2,4,4.1,11
United Arab Emirates,4.0,7,3.7,14,4.1,9,3.8,4,4.0,11,4.2,4,4.1,11
France,3.9,13,3.7,14,3.8,19,3.7,8,3.8,20,4.1,10,4.0,16
Japan,3.9,13,3.9,7,4.2,5,3.3,38,4.1,9,4.0,17,4.0,16
Spain,3.9,13,3.6,20,3.8,19,3.7,8,3.9,14,4.2,4,4.1,11
"Taiwan, China",3.9,13,3.5,22,3.8,19,3.7,8,3.9,14,4.2,4,4.2,3
"Korea, Rep.",3.8,17,3.9,7,4.1,9,3.4,26,3.8,20,3.8,25,3.8,23
United States,3.8,17,3.7,14,3.9,16,3.4,26,3.9,14,3.8,25,4.2,3
Australia,3.7,19,3.7,14,4.1,9,3.1,47,3.9,14,3.6,35,4.1,11
China,3.7,19,3.3,31,4.0,14,3.6,14,3.8,20,3.7,30,3.8,23
Greece,3.7,19,3.2,37,3.7,25,3.8,4,3.8,20,3.9,21,3.9,20
Italy,3.7,19,3.4,24,3.8,19,3.4,26,3.8,20,3.9,21,3.9,20
Norway,3.7,19,3.8,12,3.9,16,3.0,57,3.8,20,4.0,17,3.7,29
South Africa,3.7,19,3.3,31,3.6,30,3.6,14,3.8,20,3.8,25,3.8,23
United Kingdom,3.7,19,3.5,22,3.7,25,3.5,22,3.7,28,3.7,30,4.0,16
Estonia,3.6,26,3.2,37,3.5,39,3.4,26,3.7,28,4.1,10,3.8,23
Iceland,3.6,26,3.7,14,3.6,30,3.3,38,3.5,38,3.6,35,3.7,29
Ireland,3.6,26,3.4,24,3.5,39,3.6,14,3.6,33,3.7,30,3.7,29
Israel,3.6,26,3.4,24,3.7,25,3.5,22,3.8,20,3.8,25,3.7,29
Luxembourg,3.6,26,3.6,20,3.6,30,3.6,14,3.9,14,3.5,46,3.5,37
Malaysia,3.6,26,3.3,31,3.6,30,3.7,8,3.7,28,3.7,30,3.7,29
New Zealand,3.6,26,3.4,24,3.8,19,3.2,43,3.7,28,3.8,25,3.8,23
Poland,3.6,26,3.4,24,3.5,39,3.3,38,3.6,33,3.9,21,3.8,23
Bahrain,3.5,34,3.3,31,3.6,30,3.1,47,3.3,46,4.1,10,3.4,41
Latvia,3.5,34,3.3,31,3.3,44,3.2,43,3.7,28,4.0,17,3.6,34
Qatar,3.5,34,3.1,43,3.8,19,3.1,47,3.9,14,3.5,46,3.6,34
Thailand,3.5,34,3.3,31,3.7,25,3.5,22,3.5,38,3.5,46,3.6,34
India,3.4,38,3.0,47,3.2,47,3.5,22,3.5,38,3.6,35,3.4,41
Lithuania,3.4,38,3.2,37,3.5,39,3.4,26,3.6,33,3.6,35,3.1,62
Portugal,3.4,38,3.2,37,3.6,30,3.1,47,3.6,33,3.6,35,3.2,54
Saudi Arabia,3.4,38,3.0,47,3.6,30,3.3,38,3.3,46,3.6,35,3.5,37
TC<rkiye,3.4,38,3.0,47,3.4,43,3.4,26,3.5,38,3.6,35,3.5,37
Croatia,3.3,43,3.0,47,3.0,55,3.6,14,3.4,42,3.2,65,3.4,41
Czech Republic,3.3,43,3.0,47,3.0,55,3.4,26,3.6,33,3.7,30,3.2,54
Malta,3.3,43,3.4,24,3.7,25,3.0,57,3.4,42,3.2,65,3.4,41
Oman,3.3,43,3.0,47,3.2,47,3.4,26,3.2,53,3.1,76,3.9,20
Philippines,3.3,43,2.8,59,3.2,47,3.1,47,3.3,46,3.9,21,3.3,49
Slovak Republic,3.3,43,3.2,37,3.3,44,3.0,57,3.4,42,3.5,46,3.3,49
Slovenia,3.3,43,3.4,24,3.6,30,3.4,26,3.3,46,3.3,59,3.0,65
Vietnam,3.3,43,3.1,43,3.2,47,3.3,38,3.2,53,3.3,59,3.4,41
Brazil,3.2,51,2.9,56,3.2,47,2.9,68,3.3,46,3.5,46,3.2,54
Bulgaria,3.2,51,3.1,43,3.1,52,3.0,57,3.3,46,3.5,46,3.3,49
Cyprus,3.2,51,2.9,56,2.8,63,3.1,47,3.2,53,3.5,46,3.4,41
Hungary,3.2,51,2.7,65,3.1,52,3.4,26,3.1,57,3.6,35,3.4,41
Kuwait,3.2,51,3.2,37,3.6,30,3.2,43,2.9,65,2.8,102,3.3,49
Romania,3.2,51,2.7,65,2.9,59,3.4,26,3.3,46,3.6,35,3.5,37
Botswana,3.1,57,3.0,47,3.1,52,3.0,57,3.4,42,3.3,59,3.0,65
"Egypt, Arab Rep.",3.1,57,2.8,59,3.0,55,3.2,43,2.9,65,3.6,35,2.9,72
North Macedonia,3.1,57,3.1,43,3.0,55,2.8,75,3.2,53,3.5,46,3.2,54
Panama,3.1,57,3.0,47,3.3,44,3.1,47,3.0,61,3.4,55,2.9,72
Bosnia and Herzegovina,3.0,61,2.7,65,2.6,76,3.1,47,2.9,65,3.2,65,3.2,54
Chile,3.0,61,3.0,47,2.8,63,2.7,85,3.1,57,3.2,65,3.0,65
Indonesia,3.0,61,2.8,59,2.9,59,3.0,57,2.9,65,3.3,59,3.0,65
Peru,3.0,61,2.6,74,2.5,80,3.1,47,2.7,81,3.4,55,3.4,41
Uruguay,3.0,61,2.9,56,2.7,68,2.7,85,3.1,57,3.2,65,3.3,49
Antigua and Barbuda,2.9,66,2.2,110,2.7,68,2.9,68,2.9,65,3.4,55,3.2,54
Benin,2.9,66,2.7,65,2.5,80,2.9,68,3.0,61,2.7,110,3.2,54
Colombia,2.9,66,2.5,84,2.9,59,3.0,57,3.1,57,3.2,65,3.1,62
Costa Rica,2.9,66,2.8,59,2.7,68,2.8,75,2.9,65,3.2,65,2.9,72
Honduras,2.9,66,2.8,59,2.7,68,3.0,57,2.7,81,3.2,65,2.6,94
Mexico,2.9,66,2.5,84,2.8,63,2.8,75,3.0,61,3.5,46,3.1,62
Namibia,2.9,66,2.8,59,2.8,63,3.0,57,2.9,65,2.9,93,2.8,80
Argentina,2.8,73,2.7,65,2.8,63,2.7,85,2.7,81,3.1,76,2.9,72
Montenegro,2.8,73,2.6,74,2.5,80,2.8,75,2.8,76,3.2,65,3.2,54
Rwanda,2.8,73,2.5,84,2.9,59,2.4,111,3.0,61,3.1,76,3.0,65
Serbia,2.8,73,2.2,110,2.4,89,2.9,68,2.7,81,3.4,55,2.9,72
Solomon Islands,2.8,73,2.4,90,2.6,76,2.9,68,2.9,65,3.2,65,2.9,72
Sri Lanka,2.8,73,2.5,84,2.4,89,2.8,75,2.7,81,3.3,59,3.0,65
"Bahamas, The",2.7,79,2.7,65,2.5,80,3.1,47,2.5,103,3.0,87,2.6,94
Belarus,2.7,79,2.6,74,2.7,68,2.6,91,2.6,92,3.1,76,2.6,94
Djibouti,2.7,79,2.6,74,2.3,108,2.5,102,2.8,76,3.6,35,2.7,87
El Salvador,2.7,79,2.4,90,2.2,118,2.6,91,2.7,81,3.2,65,2.9,72
Georgia,2.7,79,2.6,74,2.3,108,2.7,85,2.6,92,3.1,76,2.8,80
Kazakhstan,2.7,79,2.6,74,2.5,80,2.6,91,2.7,81,2.9,93,2.8,80
Papua New Guinea,2.7,79,2.4,90,2.4,89,2.6,91,2.7,81,3.3,59,3.0,65
Paraguay,2.7,79,2.4,90,2.5,80,2.7,85,2.6,92,3.0,87,2.8,80
Ukraine,2.7,79,2.4,90,2.4,89,2.8,75,2.6,92,3.1,76,2.6,94
Bangladesh,2.6,88,2.3,101,2.3,108,2.6,91,2.7,81,3.0,87,2.4,105
"Congo, Rep.",2.6,88,2.3,101,2.1,126,2.6,91,2.9,65,2.9,93,2.7,87
Dominican Republic,2.6,88,2.6,74,2.7,68,2.4,111,2.6,92,3.1,76,2.4,105
Guatemala,2.6,88,2.3,101,2.4,89,2.8,75,2.7,81,2.6,117,2.7,87
Guinea-Bissau,2.6,88,2.7,65,2.4,89,2.9,68,2.9,65,2.4,130,2.3,117
Mali,2.6,88,2.6,74,2.0,131,2.6,91,2.5,103,3.1,76,2.7,87
Nigeria,2.6,88,2.4,90,2.4,89,2.5,102,2.3,120,3.1,76,2.7,87
Russian Federation,2.6,88,2.4,90,2.7,68,2.3,121,2.6,92,2.9,93,2.5,98
Uzbekistan,2.6,88,2.6,74,2.4,89,2.6,91,2.6,92,2.8,102,2.4,105
Albania,2.5,97,2.4,90,2.7,68,2.8,75,2.3,120,2.5,125,2.3,117
Algeria,2.5,97,2.3,101,2.1,126,3.0,57,2.2,127,2.6,117,2.5,98
Armenia,2.5,97,2.5,84,2.6,76,2.2,128,2.6,92,2.7,110,2.3,117
Bhutan,2.5,97,2.7,65,2.2,118,2.3,121,2.6,92,2.6,117,2.3,117
Central African Republic,2.5,97,2.4,90,2.6,76,2.1,133,2.9,65,2.6,117,2.4,105
"Congo, Dem. Rep.",2.5,97,2.3,101,2.3,108,2.5,102,2.4,110,2.8,102,2.5,98
Ghana,2.5,97,2.7,65,2.4,89,2.4,111,2.5,103,2.7,110,2.2,129
Grenada,2.5,97,2.6,74,2.5,80,2.6,91,2.2,127,3.1,76,2.3,117
Guinea,2.5,97,2.4,90,2.4,89,2.2,128,2.7,81,2.5,125,2.7,87
Jamaica,2.5,97,2.2,110,2.4,89,2.4,111,2.5,103,2.9,93,2.8,80
Mauritius,2.5,97,2.4,90,2.5,80,1.9,138,2.5,103,3.1,76,2.9,72
Moldova,2.5,97,1.9,134,1.9,133,2.7,85,2.8,76,3.0,87,2.8,80
Mongolia,2.5,97,2.5,84,2.3,108,2.5,102,2.3,120,2.7,110,2.4,105
Nicaragua,2.5,97,2.0,130,1.9,133,2.8,75,2.8,76,2.9,93,2.4,105
Tajikistan,2.5,97,2.2,110,2.5,80,2.5,102,2.8,76,2.9,93,2.0,134
Togo,2.5,97,2.3,101,2.3,108,3.0,57,2.4,110,2.8,102,2.3,117
Trinidad and Tobago,2.5,97,2.2,110,2.4,89,2.5,102,2.4,110,2.9,93,2.5,98
Zimbabwe,2.5,97,2.2,110,2.4,89,2.5,102,2.3,120,2.8,102,2.7,87
Bolivia,2.4,115,2.1,120,2.4,89,2.5,102,2.4,110,2.4,130,2.5,98
Cambodia,2.4,115,2.2,110,2.1,126,2.3,121,2.4,110,2.7,110,2.8,80
Gabon,2.4,115,2.0,130,2.2,118,2.6,91,2.0,136,3.0,87,2.5,98
Guyana,2.4,115,2.3,101,2.4,89,2.1,133,2.6,92,2.6,117,2.2,129
Iraq,2.4,115,2.1,120,2.2,118,2.5,102,2.2,127,3.0,87,2.4,105
Lao PDR,2.4,115,2.3,101,2.3,108,2.3,121,2.4,110,2.8,102,2.4,105
Liberia,2.4,115,2.1,120,2.4,89,2.8,75,2.4,110,2.3,134,2.4,105
Sudan,2.4,115,2.1,120,2.3,108,2.4,111,2.4,110,2.7,110,2.3,117
Burkina Faso,2.3,123,2.0,130,2.3,108,2.4,111,2.4,110,2.4,130,2.2,129
Fiji,2.3,123,2.3,101,2.2,118,2.3,121,2.3,120,2.3,134,2.2,129
"Gambia, The",2.3,123,1.8,136,2.3,108,2.6,91,2.3,120,2.6,117,2.4,105
"Iran, Islamic Rep.",2.3,123,2.2,110,2.4,89,2.4,111,2.1,134,2.7,110,2.4,105
Kyrgyz Republic,2.3,123,2.2,110,2.4,89,2.4,111,2.2,127,2.4,130,2.3,117
Madagascar,2.3,123,1.8,136,1.8,137,2.9,68,2.2,127,2.6,117,2.0,134
Mauritania,2.3,123,2.1,120,2.0,131,2.2,128,2.5,103,2.8,102,2.5,98
Syrian Arab Republic,2.3,123,2.2,110,2.2,118,2.3,121,2.2,127,2.5,125,2.3,117
"Venezuela, RB",2.3,123,2.1,120,2.4,89,2.0,136,2.5,103,2.5,125,2.3,117
Cuba,2.2,133,2.0,130,2.2,118,2.1,133,2.2,127,2.6,117,2.4,105
"Yemen, Rep.",2.2,133,1.7,138,1.9,133,1.7,140,2.6,92,2.8,102,2.3,117
Angola,2.1,135,1.7,138,2.1,126,2.4,111,2.3,120,2.1,139,2.3,117
Cameroon,2.1,135,2.1,120,2.1,126,2.2,128,2.1,134,2.1,139,1.8,137
Haiti,2.1,135,2.1,120,1.8,137,2.3,121,2.0,136,2.5,125,2.1,133
Somalia,2.0,138,1.5,140,1.9,133,2.4,111,1.8,140,2.3,134,1.8,137
Afghanistan,1.9,139,2.1,120,1.7,139,1.8,139,2.0,136,2.3,134,1.6,140
Libya,1.9,139,1.9,134,1.7,139,2.0,136,1.9,139,2.2,138,1.8,137
